image_name| comment_number| comment
4334767542.jpg| 2| Man with black and white hair wearing a white shirt and long boots sweeps outside .
3240094420.jpg| 2| A group of asian women standing together for photo .
3030565991.jpg| 2| A teenage boy wearing a blue and white uniform playing a form of Hockey .
4482773167.jpg| 2| A father and son repair a mildly broken grill .
3810466608.jpg| 0| A man in a white and brown shirt reading with cokes and an Apples-to-Apples game card set .
2871989067.jpg| 4| Four girls in a blue cheerleader outfit  .
2335931883.jpg| 4| A big man plays guitar on stage .
4688199930.jpg| 4| A crowd of people picking up bananas .
1325846369.jpg| 0| A man in a white t-shirt and jeans standing on a scaffold outside a building .
2490687446.jpg| 2| A dog on a leash shakes while in some water .
2162746678.jpg| 3| A man talks on a cellphone while working .
4432988285.jpg| 1| Two blonds dressed in evening gowns and ornate hats are laughing .
10459869.jpg| 2| Six people are sitting at a table eating food .
6140511870.jpg| 4| Damage control cleaning a fire .
4209480025.jpg| 1| A man shoveling his front steps after a snowstorm .
1542970158.jpg| 1| The man stands on the scaffolding as he looks outward .
1547883892.jpg| 3| A young woman sips a coffee and reads a book .
4929501260.jpg| 4| A girl is biking over the street .
369802520.jpg| 4| A tan dog is walking through snow .
747093215.jpg| 1| A small boy is playing with a toy lawn mower in a field of dandelions .
4800159134.jpg| 4| A man with a blue bull mask in a crowd of people .
2778696039.jpg| 1| A young male is wearing blue shorts at the edge of a shaded area .
4910374312.jpg| 2| A blond boy is sitting in a stroller holding a Korean language book .
3416925417.jpg| 4| A man plays ball with a little boy .
801607443.jpg| 0| One climber is sitting on the rock overlooking the ocean whilst another climber is on her way up .
3220140234.jpg| 0| One very fat sumo wrestler wrestles with a thinner wrestler while an umpire dressed in green watches .
5476674072.jpg| 0| Two men in a bakery , one in a black cap and one in a white cap , are rolling dough out on a wooden table .
3020423842.jpg| 1| A man in a blue shirt leans on a wall beside a road with a blue van and red car with water in the background .
3628103548.jpg| 1| A woman singing and playing an acoustic guitar and three people accompanying her .
4042758072.jpg| 4| A boy in a costume sits across from a man smiling .
