image_name| comment_number| comment|Translated Comment
1000092795.jpg| 0| Two young guys with shaggy hair look at their hands while hanging out in the yard .|Хашаан дээр өлгөөтэй хонины үстэй хоёр залуу, хашаандаа өлгөөтэй байв.
1000092795.jpg| 1| Two young , White males are outside near many bushes .|Хоёр залуу, цагаан арьст эрчүүд олон бутны гадна байдаг.
1000092795.jpg| 2| Two men in green shirts are standing in a yard .|Ногоон цамцтай хоёр эрэгтэй хашаанд зогсож байна.
1000092795.jpg| 3| A man in a blue shirt standing in a garden .|Цэцэрлэгт нэг цэнхэр цамц өмссөн хүн.
1000092795.jpg| 4| Two friends enjoy time spent together .|Хоёр найз хамтдаа өнгөрөөсөн цагийг сайхан өнгөрүүлээрэй.
10002456.jpg| 0| Several men in hard hats are operating a giant pulley system .|Хатуу малгайтай хэд хэдэн эрчүүд аварга том дамар систем ажиллуулж байна.
10002456.jpg| 1| Workers look down from up above on a piece of equipment .|Ажилчид нь тоног төхөөрөмж дээр дээрээс доошоо хардаг.
10002456.jpg| 2| Two men working on a machine wearing hard hats .|Хатуу малгай өмссөн машин дээр ажилладаг хоёр эрэгтэй.
10002456.jpg| 3| Four men on top of a tall structure .|Өндөр бүтцийн дээд талд дөрвөн хүн.
10002456.jpg| 4| Three men on a large rig .|Гурван эрчүүдэд гурван эр.
1000268201.jpg| 0| A child in a pink dress is climbing up a set of stairs in an entry way .|Ягаан өнгийн даашинз өмссөн хүүхэд нь оролтын шатаар шатаар авирч байна.
1000268201.jpg| 1| A little girl in a pink dress going into a wooden cabin .|Ягаан өнгийн даашинзтай бяцхан охин модон кабин руу явж байна.
1000268201.jpg| 2| A little girl climbing the stairs to her playhouse .|Бяцхан охин Шатаар авирч, Playhouse дээр авирч байна.
1000268201.jpg| 3| A little girl climbing into a wooden playhouse |Бяцхан охин модон тоглодог байшинд авирч байна
1000268201.jpg| 4| A girl going into a wooden building .|Модон барилга руу явж буй охин.
1000344755.jpg| 0| Someone in a blue shirt and hat is standing on stair and leaning against a window .|Цэнхэр цамц, малгай өмссөн хэн нэгэн нь шат, цонхны эсрэг зогсож байв.
1000344755.jpg| 1| A man in a blue shirt is standing on a ladder cleaning a window .|Цэнхэр цамц өмссөн эр цонхны цэвэрлэгээ дээр зогсож байна.
1000344755.jpg| 2| A man on a ladder cleans the window of a tall building .|Шатан дээр эр хүн өндөр барилгын цонхыг цэвэрлэдэг.
1000344755.jpg| 3| man in blue shirt and jeans on ladder cleaning windows|ХӨДӨЛГӨӨНИЙ ХӨДӨЛГӨӨНИЙ ЦАГИЙН ЦАГИЙН ЦАГДАА, ЖИЖИГИЙН ХҮН
1000344755.jpg| 4| a man on a ladder cleans a window|шатан дээрх хүн цонхыг цэвэрлэдэг
1000366164.jpg| 0| Two men , one in a gray shirt , one in a black shirt , standing near a stove .|Хоёр хүн, нэг нь саарал цамцанд нэг нь, нэг нь хар цамц, зуухны ойролцоо зогсож байв.
1000366164.jpg| 1| Two guy cooking and joking around with the camera .|Камертай хамт хоёр залуу хоол хийж, тоглож байна.
1000366164.jpg| 2| Two men in a kitchen cooking food on a stove .|Зууханд гал тогооны хоол хийх хоёр эрэгтэй.
1000366164.jpg| 3| Two men are at the stove preparing food .|Хоёр хүн хоол бэлтгэх зууханд байдаг.
1000366164.jpg| 4| Two men are cooking a meal .|Хоёр хүн хоол хийж байна.
