image_name| comment_number| comment
1000092795.jpg| 0| Сэгсгэвт үстэй хоёр залуу хашаанд зугаалж байхдаа гар руугаа харж .
1000092795.jpg| 1| Хоёр залуу , Цагаан эрэгчин нь олон бутлуурын ойролцоо гадаа .
1000092795.jpg| 2| Ногоон цамцтай 2 эрэгтэй хашаанд зогсож байна .
1000092795.jpg| 3| Цэцэрлэгт зогсож байгаа цэнхэр цамцтай эр .
1000092795.jpg| 4| Хоёр найз хамтдаа цагийг зугаатай өнгөрүүлдэг .
10002456.jpg| 0| Хатуу малгайтай хэд хэдэн эрчүүд аварга том пулеи систем . үйл ажиллагаа явуулж .
10002456.jpg| 1| Ажилчид дээрээс нь . тоног төхөөрөмж дээр доош харж .
10002456.jpg| 2| Хатуу малгай өмссөн машин дээр ажиллаж буй 2 эрэгтэй .
10002456.jpg| 3| Өндөр барилгын дээр 4 эрэгтэй .
10002456.jpg| 4| Том оврын гурван эр .
1000268201.jpg| 0| Ягаан өнгийн даашинзтай хүүхэд орох замаар шатаар өгсөж байна .
1000268201.jpg| 1| Ягаан өнгийн даашинзтай бяцхан охин модон байшинд орж .
1000268201.jpg| 2| Бяцхан охин шатаар өгсөж тоглох байр руугаа .
1000268201.jpg| 3| Бяцхан охин модон тоглоомын газар авирч байна 
1000268201.jpg| 4| Модон барилга руу явж байгаа охин .
1000344755.jpg| 0| Цэнхэр цамц, малгай өмссөн хэн нэгэн шатан дээр зогсоод цонхны эсрэг түшиж байна .
1000344755.jpg| 1| Цэнхэр цамцтай хүн . цонх цэвэрлэх шатаар зогсож .
1000344755.jpg| 2| Шатаар хүн . өндөр барилгын цонхыг цэвэрш .
1000344755.jpg| 3| цэнхэр цамц, жинсэн өмд өмссөн хүн шатаар цэвэрлэх цонх
1000344755.jpg| 4| шатаар хүн цонх цэвэрлдэг
1000366164.jpg| 0| Хоёр хүн , нэг нь саарал цамц , нэг нь хар цамцтай , зуухны дэргэд зогсож .
1000366164.jpg| 1| Хоёр залуу хоол хийж, камераар тоглоом шоглоом хийж .
1000366164.jpg| 2| Зуухан дээр гал тогооны хоол хийж буй 2 эрэгтэй .
1000366164.jpg| 3| Хоёр хүн хоол бэлтгэх зуухны дэргэд .
1000366164.jpg| 4| Хоёр хүн хоол хийж байна .
