image_name| comment_number| comment
1000092795.jpg| 0| Сэгсгэвт үстэй хоёр залуу хашаанд зугаалж байхдаа гар руугаа харж .
1000092795.jpg| 1| Хоёр залуу , Цагаан эрэгчин нь олон бутлуурын ойролцоо гадаа .
1000092795.jpg| 2| Ногоон цамцтай 2 эрэгтэй хашаанд зогсож байна .
1000092795.jpg| 3| Цэцэрлэгт зогсож байгаа цэнхэр цамцтай эр .
1000092795.jpg| 4| Хоёр найз хамтдаа цагийг зугаатай өнгөрүүлдэг .
10002456.jpg| 0| Хатуу малгайтай хэд хэдэн эрчүүд аварга том пулеи систем . үйл ажиллагаа явуулж .
10002456.jpg| 1| Ажилчид дээрээс нь . тоног төхөөрөмж дээр доош харж .
10002456.jpg| 2| Хатуу малгай өмссөн машин дээр ажиллаж буй 2 эрэгтэй .
10002456.jpg| 3| Өндөр барилгын дээр 4 эрэгтэй .
10002456.jpg| 4| Том оврын гурван эр .
1000268201.jpg| 0| Ягаан өнгийн даашинзтай хүүхэд орох замаар шатаар өгсөж байна .
1000268201.jpg| 1| Ягаан өнгийн даашинзтай бяцхан охин модон байшинд орж .
1000268201.jpg| 2| Бяцхан охин шатаар өгсөж тоглох байр руугаа .
1000268201.jpg| 3| Бяцхан охин модон тоглоомын газар авирч байна 
1000268201.jpg| 4| Модон барилга руу явж байгаа охин .
1000344755.jpg| 0| Цэнхэр цамц, малгай өмссөн хэн нэгэн шатан дээр зогсоод цонхны эсрэг түшиж байна .
1000344755.jpg| 1| Цэнхэр цамцтай хүн . цонх цэвэрлэх шатаар зогсож .
1000344755.jpg| 2| Шатаар хүн . өндөр барилгын цонхыг цэвэрш .
1000344755.jpg| 3| цэнхэр цамц, жинсэн өмд өмссөн хүн шатаар цэвэрлэх цонх
1000344755.jpg| 4| шатаар хүн цонх цэвэрлдэг
1000366164.jpg| 0| Хоёр хүн , нэг нь саарал цамц , нэг нь хар цамцтай , зуухны дэргэд зогсож .
1000366164.jpg| 1| Хоёр залуу хоол хийж, камераар тоглоом шоглоом хийж .
1000366164.jpg| 2| Зуухан дээр гал тогооны хоол хийж буй 2 эрэгтэй .
1000366164.jpg| 3| Хоёр хүн хоол бэлтгэх зуухны дэргэд .
1000366164.jpg| 4| Хоёр хүн хоол хийж байна .
1000523639.jpg| 0| Зурган дээр 2 хүн гитар тоглож байхад нөгөө нь түүн рүү .
1000523639.jpg| 1| Ногоон өнгийн эрэгтэй гитар барьж байхад нөгөө хүн цамцаа ажиглаад .
1000523639.jpg| 2| Гитар тоглуулагчийн хувцасыг эрэгтэй засаж байна .
1000523639.jpg| 3| өөр хүний хүрэм оёж байгаа залуу .
1000523639.jpg| 4| гитар тоглож байгаа хоёр хүү
1000919630.jpg| 0| Эр хүн арслангийн том мал барьж сандал дээр сууж .
1000919630.jpg| 1| Нэг хүн томоотой амьтан барьж сандал дээр сууж байна .
1000919630.jpg| 2| Хүн дүүрэн арслан дээр барианд орж дуусдаг .
1000919630.jpg| 3| Эр хүн томоотой арслантай тоглоом барьдаг .
1000919630.jpg| 4| Хүн дүүрэн арслан руу инээмсэглэж байна
10010052.jpg| 0| Нэгэн охин машины зогсоол дээр зогсож байгаа гар утсаараа ярьж байгаа роллерскэйт дээр .
10010052.jpg| 1| Гудамжаар аажуухан гулгаж явахдаа гар утсаараа ярьж буй тренд бүсгүй .
10010052.jpg| 2| Rollerblades өмссөн залуу насанд хүрэгч . Гар утсаа чихэнд нь барьж .
10010052.jpg| 3| уран гулгалт хийж байхдаа гар утсан дээр нь нэгэн бяцхан охин .
10010052.jpg| 4| Гар утсаар ярьж, ролик өмссөн эмэгтэй .
1001465944.jpg| 0| Хар костюм өмссөн азийн эрэгтэй хар үстэй эмэгтэй ойролцоо зогсож байна, цайвар шаргал үстэй эмэгтэй .
1001465944.jpg| 1| Гурван хүн том хоолой болон төмөр төмөр замын ойролцоо гадаа зогсож .
1001465944.jpg| 2| Нэгэн бүсгүй ташаандаа хар хувцас өмссөн хоёр залуугийн хажуугаар өнгөрсөөн .
1001465944.jpg| 3| Том цүнхтэй эмэгтэй хаалганы дэргэд явж байна .
1001465944.jpg| 4| Байрны гадаа зогсож байгаа хэдэн хүн .
1001545525.jpg| 0| Германд 2 хүн нэгэн зэрэг галт тэрэгний дээгүүр цамцгүй үсэрч .
1001545525.jpg| 1| Хоёр залуус замын хажуугийн төмөр замын дээгүүр үсэрч байна . шөнө .
1001545525.jpg| 2| Хөвгүүд шөнө дунд шон дээр бүжиглэж .
1001545525.jpg| 3| Төмөр замын дээгүүр цамцгүй хоёр хүн үсэрч .
1001545525.jpg| 4| хоёр залуу хамтдаа хаалган дээгүүр үсэрч байна
1001573224.jpg| 0| Таван балетчин бүжгийн студид дунд үсэрч, цонхоор нарны гэрэл ассан байна .
1001573224.jpg| 1| Гайхалтай хэлбэрээр үсэрч буй студийн дадлагын балетчид .
1001573224.jpg| 2| Бүжгийн дадлагын өрөөнд нэгэн зэрэг 5 охин үсэрч байна .
1001573224.jpg| 3| Таван охин балетын ангид бүжиглэж, хөлөө бөхийлгөх .
1001573224.jpg| 4| Таван охин дарааллын дагуу үсэрч буй балетын анги .
1001633352.jpg| 0| Бетон шатаар нисэх онгоцны дээд хэсэгт 3 залуу, нэг бүсгүй хувцас өмсөж агаарын мандалд үсэрч байна .
1001633352.jpg| 1| Хайнга хувцасласан дөрвөн залуус шатаар доош үсэрч гадаа нь чулуун ханатай .
1001633352.jpg| 2| Малгай өмссөн гурван залуу нэг нь шатны орой дээр үсэрч байгаа биш .
1001633352.jpg| 3| Сэтгэл догдлуулсан царайтай дөрвөн хүн шатаар дээш үсэрч байна .
1001633352.jpg| 4| 4 хүн шатаар нисэх онгоцны дээрээс үсэрч байна .
1001773457.jpg| 0| Хар нохой, бор толботой цагаан нохой хоёр гудамжинд бие биенээ ширтэж байна .
1001773457.jpg| 1| Хар нохой, гурван өнгийн нохой зам дээр бие биетэйгээ тоглож .
1001773457.jpg| 2| Өөр өөр үрийн хоёр нохой зам дээр бие бие рүүгээ харж .
1001773457.jpg| 3| Зам дээр хоёр нохой бие биенийхээ зүг хөдөлж .
1001773457.jpg| 4| Хар нохой, олж харсан нохой хоёр зодолдож байна
1001896054.jpg| 0| Аюулгүй байдлын хувцас, чихний хамгаалалттай хүн зам дээр John Deere тракторыг жолоодож .
1001896054.jpg| 1| John Deere тракторууд гудамжаар аялдаг . Харин жолооч нь хувцас . харахад хялбар .
1001896054.jpg| 2| Нейон ногоон, улбар шар өнгийн дүрэмт хувцастай эрэгтэй ногоон трактор дээр машин .
1001896054.jpg| 3| Модон гудамжаар чихэвч зүүсэн тракторт эрэгтэй .
1001896054.jpg| 4| Орон нутгийн гол зам дээр John Deere трактор машин жолоодож явсан хүн .
100197432.jpg| 0| Зарим эмэгтэйчүүд автобусны урд талд барилга байшинтай зогсож байна .
100197432.jpg| 1| Хотын гудамжинд хэдэн эмэгтэй өндөр барилгатай зогсож байна .
100197432.jpg| 2| Автобусны урд хэсэг эмэгтэйчүүд зогсож байна .
100197432.jpg| 3| Хэд хэдэн эмэгтэй хотод гадаа хүлээж .
100197432.jpg| 4| Эмэгтэйчүүд гадаа зогсож байна
100207720.jpg| 0| Хар үстэй, нүдний шил зүүсэн бүсгүй шигшүүр ашиглан бялуун дээр цагаан үнс хийж байна .
100207720.jpg| 1| Нүдний шилтэй хар оройд нэгэн хатагтай банзал бялуу дээр үнэртэй элсэн чихэр цацаж байна .
100207720.jpg| 2| Нүдний шил зүүсэн эмэгтэй боодолтой бялуун дээрээ үнэртэй элсэн чихэр цацдаг .
100207720.jpg| 3| Хар хантаазтай охин шоколадтай бялуун дээр үнс шигшиж чихэр .
100207720.jpg| 4| Зогсож буй эмэгтэй бялуун дээр сав .
1002674143.jpg| 0| Өвсөнд бяцхан охин дээр нь солонготой цагаан даавууны өмнө хуруугаараа тоглоно .
1002674143.jpg| 1| Будгаар хучигдсан бяцхан охин аяганд гараа хийж будсан солонгон дээр сууж .
1002674143.jpg| 2| Солонгон зурагны өмнө гахайтай охин сууж байна .
1002674143.jpg| 3| Бяцхан охин том будсан солонгон өмнө сууж байна .
1002674143.jpg| 4| Залуу охин зүлгэн дээр гадаа гахай будаж .
1003163366.jpg| 0| гадаа сандал дээр унтаж байгаа хүн цагаан, хар нохой хажууд нь сууж .
1003163366.jpg| 1| Цагаан нохойг бас уядаг сандал дээр хүн хэвтэж .
1003163366.jpg| 2| газар сууж байгаа нохойны үсрэлтийг барьж сандал дээр хэвтэж байгаа хүн
1003163366.jpg| 3| Цамцгүй эр нохойтойгоо паркийн сандал дээр хэвтэж .
1003163366.jpg| 4| Нохой нь дэргэд нь сууж байхад хүн сандал дээр хэвтдэг .
1003420127.jpg| 0| Хэсэг насанд хүрэгчдэд , гэрийн дотор , тойрог дотор зохион байгуулсан сандал дээр суух , хөгжмийн нэг төрөл тоглох .
1003420127.jpg| 1| 5 хөгжимчин , эрэгтэй 4 эмэгтэй , зочны өрөөнд хуудас хөгжим (flutes ашиглах) дадлага хийх .
1003420127.jpg| 2| Хүмүүс тойрон цугларч , зарим нь хөгжмийн зэмсэг барьж .
1003420127.jpg| 3| Хүмүүс дуртай аяынхаа тухай ярилцахаар өрөөнд цугларчээ .
1003420127.jpg| 4| 5 хүн төхөөрөмжтэй дугуйланд сууж байна .
1003428081.jpg| 0| Хоёр эмэгтэй , аль аль нь нүдний шил зүүдэг , clarinets тоглож байна, настай эмэгтэй нь уян хөгжмийн зэмсэг тоглож .
1003428081.jpg| 1| Наад зах нь 4 хөгжмийн зэмсэгч хөшигний өрөөнд кларинет болон бусад хөгжмийн зэмсэг тоглодог .
1003428081.jpg| 2| Зочны өрөөнд дөрвөн эмэгтэй . Гурав нь ил тод . хөгжмийн зэмсэг тоглож .
1003428081.jpg| 3| Хэсэг настай эмэгтэйчүүд хуудас хөгжим уншихдаа кларинетуудаа хамтад нь тоглодог .
1003428081.jpg| 4| Дөрвөн эмэгтэй хамтлаг . хөгжмийн зэмсэг дээрээ хөгжим тоглож .
100444898.jpg| 0| Саарал өнгөтэй хүн харанхуйд гадаа барилга дээр ганцаараа зогсож .
100444898.jpg| 1| Том барилга эвдэрч, зам дээр хэвтэж байна .
100444898.jpg| 2| Саарал дээлтэй хүн угаагдсан гүүрэн дээр зогсож байна .
100444898.jpg| 3| Эрэгтэй хүн модон дэмжлэг дээр зогсож, судалгаа гэмтэл .
100444898.jpg| 4| Гүүрэн дээр зогсож буй хантааз, жинсэн өмд өмссөн эрэгтэй .
1005216151.jpg| 0| Цагаан цамцтай хүн метроны буудлын ойролцоо цугласан олоноор хүрээлүүлсэн камер руу харж байна .
1005216151.jpg| 1| Метроны буудлын үүдний өмнө олон хүн гадаа зогсож байна .
1005216151.jpg| 2| Хотын гудамжаар хэсэг хүмүүс явж байна .
1005216151.jpg| 3| Метроны буудлын ойролцоо олон түмнийг дүрслэн харуулдаг.
1005216151.jpg| 4| Метроны газрын гадаа зогсож байгаа олон хүн .
100577935.jpg| 0| Хар цамц, цагаан латекс бээлийтэй эрэгтэй хүн шивээсний буу ашиглан хэн нэгний нуруун дээр шивээс .
100577935.jpg| 1| Эрэгтэй хүн өөр нэг 'эрэгтэй' дээр шивээс хийж байна дээд нурууны .
100577935.jpg| 2| Хар цамцтай хүн өөр эрэгтэйд шивээс хийж өгч байна .
100577935.jpg| 3| Эр хүн нуруун дээрээ шивээс хийж байна .
100577935.jpg| 4| Эр хүн нуруун дээрээ шивээс хийлгэж байна .
1006452823.jpg| 0| 2 хүүхэд , нэг охин, нэг хүү хоёр бичлэгээ дадлага хийж байна .
1006452823.jpg| 1| Хоёр хүүхэд элс . жижиг хараа дээр сууж .
1006452823.jpg| 2| Teeter totter дээр сууж байгаа 2 хүүхэд .
1006452823.jpg| 3| 2 хүүхэд хараан дээр тоглож байна
1006452823.jpg| 4| Хоёр хүүхэд хараан дээр сууж байна .
100652400.jpg| 0| Цэнхэр хатуу малгайтай, улбар шар өнгийн аюулгүй байдлын хантаазтай эр төрийн далбааг барьж байхдаа замын уулзвар дээр зогсож .
100652400.jpg| 1| Хатуу малгай, анхааруулах хантааз өмссөн эрэгтэй улбар шар туг даллан гудамжинд зогсож байна .
100652400.jpg| 2| Тод хантаазтай, хатуу малгайтай хүн шүршүүрийн будгаар хучигдсан гудамжны буланд төрийн далбаа барьжээ
100652400.jpg| 3| Барилгын ажилтан гудамжинд зогсож , улаан туг барьж байна .
100652400.jpg| 4| Тусгагч хантааз, хатуу малгай өмссөн хүн зам дээр төрийн далбаа барьжээ
1007129816.jpg| 0| Чих цоолсон хүн нүдний шил зүүж улбар шар малгай .
1007129816.jpg| 1| Нүдний шилтэй хүн шар айраг лаазтай малгай .
1007129816.jpg| 2| Хэмжигч, нүдний шилтэй хүн Блиц малгай өмсөж байна .
1007129816.jpg| 3| Улбар шар малгайтай хүн ямар нэгэн зүйл дээр .
1007129816.jpg| 4| Эр хүн улбар шар малгай, нүдний шил зүүдэг .
100716317.jpg| 0| Урт саарал үстэй хүн цэнхэр өнгийн борооны хүрэм өмссөн бейж, цагаан өнгийн береттэй бол бусад уран бүтээлчид, уран зургуудаар хүрээлэгдсэн зах зээлийн үзэсгэлэнт газрыг зурж байна .
100716317.jpg| 1| Цэнхэр хүрэм өмссөн хүн хөл ихтэй явган хүний зам дээр зогсож байна . Гудамжны дүр зургийн талаар судалж .
100716317.jpg| 2| Саарал үстэй хүн олон нийтийн газар будаж байна. Бусдыг хүрээлж бас будаж байгаа .
